OBJECTID,A_AGE1,A_AGE2,A_AGE3,A_AGE4,A_AGE5,A_AGE6,A_AGE7,A_AGE8,A_AGE9,STATE,ST_CASE,VEH_NO,PER_NO,YEAR,A_PTYPE,A_RESTUSE,A_HELMUSE,A_ALCTES,A_HISP,A_RCAT,A_HRACE,A_EJECT,A_PERINJ,A_LOC,A_DOA
215,3,5,8,5,5,5,7,4,2,1,10097,1,1,2023,1,2,4,3,0,0,0,1,6,1,5
216,4,5,11,7,8,8,10,6,2,1,10097,2,1,2023,1,2,4,3,1,1,2,1,1,1,3
217,3,4,7,4,4,4,6,2,2,1,10098,1,1,2023,1,2,4,2,1,2,3,1,1,1,3
218,2,2,5,2,2,2,4,2,2,1,10098,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
219,4,5,11,7,8,8,10,6,2,1,10099,1,1,2023,1,2,4,1,1,1,2,1,1,1,1
220,3,5,9,6,6,6,8,4,2,1,10099,2,1,2023,1,2,4,1,0,0,0,1,6,1,5
221,3,5,9,6,6,6,8,5,2,1,10100,0,1,2023,3,4,4,3,1,1,2,1,1,3,1
222,2,3,6,3,3,3,5,2,2,1,10100,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
223,3,4,7,4,4,4,6,2,2,1,10100,1,2,2023,2,1,4,3,0,0,0,1,6,1,5
224,4,5,10,6,7,7,9,6,2,1,10100,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
225,3,5,9,6,6,6,8,5,2,1,10100,3,1,2023,1,1,4,3,0,0,0,1,6,1,5
226,2,2,5,2,2,2,4,1,2,1,10101,1,1,2023,1,1,4,1,1,2,3,1,1,1,1
227,3,4,7,4,4,4,6,2,2,1,10102,1,1,2023,1,2,4,1,1,1,2,2,1,1,1
228,2,2,5,2,2,2,4,1,2,1,10102,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
229,3,5,8,5,5,5,7,3,2,1,10103,1,1,2023,1,4,1,3,1,1,2,1,1,1,3
230,4,5,11,7,8,8,10,6,2,1,10104,1,1,2023,1,1,4,3,1,1,2,1,1,1,1
231,2,2,5,2,2,2,4,2,2,1,10105,1,1,2023,1,2,4,1,1,1,2,1,1,1,1
232,4,5,11,7,8,8,10,6,2,1,10106,1,1,2023,1,1,4,3,1,1,2,1,1,1,3
233,3,5,9,6,6,6,8,4,2,1,10106,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
234,3,5,8,5,5,5,7,4,2,1,10106,2,2,2023,2,1,4,3,0,0,0,1,6,1,5
